Comment,Designator,Footprint,LCSC,Quantity,Link
100,R10,R_0402_1005Metric,C25076,1,https://www.lcsc.com/product-detail/C25076.html
100k,R13,R_0402_1005Metric,C25741,1,https://www.lcsc.com/product-detail/C25741.html
100n,"C19,C21",C_0402_1005Metric,C1525,2,https://www.lcsc.com/product-detail/C1525.html
100nF,"C16,C2,C3,C6,C7,C9",C_0402_1005Metric,C1525,6,https://www.lcsc.com/product-detail/C1525.html
10K,"R1,R17,R2,R3",R_0402_1005Metric,C25744,4,https://www.lcsc.com/product-detail/C25744.html
10uF,C11,C_0402_1005Metric,C15525,1,https://www.lcsc.com/product-detail/C15525.html
1K,"R15,R16,R8",R_0402_1005Metric,C11702,3,https://www.lcsc.com/product-detail/C11702.html
1uF,C13,C_0402_1005Metric,C52923,1,https://www.lcsc.com/product-detail/C52923.html
20,R9,R_0402_1005Metric,C2004,1,https://www.lcsc.com/product-detail/C2004.html
22k,R14,R_0402_1005Metric,C25768,1,https://www.lcsc.com/product-detail/C25768.html
22u,"C20,C22",C_0402_1005Metric,C385994,2,https://www.lcsc.com/product-detail/C385994.html
33,"R6,R7",R_0402_1005Metric,C25105,2,https://www.lcsc.com/product-detail/C25105.html
4.7uF,"C1,C10,C15,C4,C5,C8",C_0402_1005Metric,C23733,6,https://www.lcsc.com/product-detail/C23733.html
5.1K,"R4,R5",R_0402_1005Metric,C25905,2,https://www.lcsc.com/product-detail/C25905.html
51k,"R11,R12",R_0402_1005Metric,C25794,2,https://www.lcsc.com/product-detail/C25794.html
AOTA-B201610S3R3-101-T,"L2,L3",L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C42411119,2,https://www.lcsc.com/product-detail/C42411119.html
BQ21040DBV,U4,SOT-23-6,C78978,1,https://www.lcsc.com/product-detail/C78978.html
ESP32-S3-MINI-1,U2,ESP32-S2-MINI-1,C2913206,1,https://www.lcsc.com/product-detail/C2913206.html
ICE40UP5K-SG48ITR,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C2678152,1,https://www.lcsc.com/product-detail/C2678152.html
LED,"D1,D3",LED_0402_1005Metric,C71911,2,https://www.lcsc.com/product-detail/C71911.html
RT8075ZQW,U6,WDFN-10_L3.0-W3.0-P0.50-BL-EP,C250416,1,https://www.lcsc.com/product-detail/C250416.html
SW_Push,"SW1,SW2,SW3",SW_Push_1P1T_NO_CK_KMR2,C72443,3,https://www.lcsc.com/product-detail/C72443.html
TJ-S1608SW6TDSLCCYRGB-A5,U5,LED-ARRAY-SMD_4P-L1.6-W0.8-BL-FD,C5356078,1,https://www.lcsc.com/product-detail/C5356078.html
USBLC6-2P6,U3,SOT-666,C53059594,1,https://www.lcsc.com/product-detail/C53059594.html
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1,https://www.lcsc.com/product-detail/C165948.html
Conn_01x20_Pin,J3,PinHeader_1x20_P2.54mm_Vertical,,1,DNP
Conn_01x20_Pin,J2,PinHeader_1x20_P2.54mm_Vertical,,1,DNP
TestPoint,TP1,TestPoint_Pad_D1.0mm,,1,DNP
TestPoint,TP2,TestPoint_Pad_D1.0mm,,1,DNP
SK6812MINI-E,D2,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,,1,DNP
