Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0402_1005Metric,136.78,-123.9,0.0,top
C10,4.7uF,C_0402_1005Metric,125.18,-124.25,180.0,top
C11,10uF,C_0402_1005Metric,128.2446,-102.1614,-90.0,top
C13,1uF,C_0402_1005Metric,131.8,-144.1,135.0,top
C15,4.7uF,C_0402_1005Metric,125.239411,-119.639411,-45.0,top
C16,100nF,C_0402_1005Metric,124.539411,-120.339411,-45.0,top
C19,100n,C_0402_1005Metric,126.39,-134.54,-45.0,top
C2,100nF,C_0402_1005Metric,136.8,-124.9,0.0,top
C20,22u,C_0402_1005Metric,125.8,-132.62,-90.0,top
C21,100n,C_0402_1005Metric,132.07,-133.14,90.0,top
C22,22u,C_0402_1005Metric,131.565589,-131.105589,-45.0,top
C3,100nF,C_0402_1005Metric,127.72,-117.230001,180.0,top
C4,4.7uF,C_0402_1005Metric,127.730003,-116.240001,180.0,top
C5,4.7uF,C_0402_1005Metric,129.687501,-115.933749,0.0,top
C6,100nF,C_0402_1005Metric,129.720003,-116.963751,0.0,top
C7,100nF,C_0402_1005Metric,135.99,-126.82,-135.0,top
C8,4.7uF,C_0402_1005Metric,135.239411,-126.140589,-135.0,top
C9,100nF,C_0402_1005Metric,124.86,-125.25,180.0,top
D1,LED,LED_0402_1005Metric,123.0376,-145.390001,90.0,top
D2,SK6812MINI-E,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,126.025,-107.5,90.0,top
D3,LED,LED_0402_1005Metric,130.3782,-145.8952,90.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,137.75,-148.85,180.0,top
J2,Conn_01x20_Pin,PinHeader_1x20_P2.54mm_Vertical,120.4976,-125.87,180.0,top
J3,Conn_01x20_Pin,PinHeader_1x20_P2.54mm_Vertical,153.67,-125.6792,180.0,top
L2,AOTA-B201610S3R3-101-T,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,128.749999,-135.965,0.0,top
L3,AOTA-B201610S3R3-101-T,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,130.470001,-128.995,0.0,top
R1,10K,R_0402_1005Metric,136.5,-121.5,180.0,top
R10,100,R_0402_1005Metric,125.75,-121.2,45.0,top
R11,51k,R_0402_1005Metric,131.425,-135.225,-135.0,top
R12,51k,R_0402_1005Metric,129.05059,-134.695589,180.0,top
R13,100k,R_0402_1005Metric,129.345588,-130.220589,0.0,top
R14,22k,R_0402_1005Metric,127.195624,-130.534376,-135.0,top
R15,1K,R_0402_1005Metric,131.4196,-145.848799,-90.0,top
R16,1K,R_0402_1005Metric,129.077603,-145.082802,90.0,top
R17,10K,R_0402_1005Metric,125.9586,-146.8374,0.0,top
R2,10K,R_0402_1005Metric,134.1,-116.490001,-90.0,top
R3,10K,R_0402_1005Metric,136.290001,-122.5,0.0,top
R4,5.1K,R_0402_1005Metric,140.4874,-144.399,0.0,top
R5,5.1K,R_0402_1005Metric,133.858,-143.5354,-135.0,top
R6,33,R_0402_1005Metric,138.1506,-116.5098,-90.0,top
R7,33,R_0402_1005Metric,137.1854,-116.5606,-90.0,top
R8,1K,R_0402_1005Metric,123.0884,-143.2306,-90.0,top
R9,20,R_0402_1005Metric,127.0762,-102.3366,90.0,top
SW1,SW_Push,SW_Push_1P1T_NO_CK_KMR2,148.4,-101.9,180.0,top
SW2,SW_Push,SW_Push_1P1T_NO_CK_KMR2,143.3,-134.749999,-90.0,top
SW3,SW_Push,SW_Push_1P1T_NO_CK_KMR2,147.55,-134.75,-90.0,top
TP1,TestPoint,TestPoint_Pad_D1.0mm,130.4,-141.6,0.0,top
TP2,TestPoint,TestPoint_Pad_D1.0mm,128.1,-141.6,0.0,top
U1,ICE40UP5K-SG48ITR,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,130.957501,-122.130001,180.0,top
U2,ESP32-S3-MINI-1,ESP32-S2-MINI-1,137.0838,-106.94,0.0,top
U3,USBLC6-2P6,SOT-666,137.95,-141.425,-90.0,top
U4,BQ21040DBV,SOT-23-6,126.179974,-144.452275,270.0,top
U5,TJ-S1608SW6TDSLCCYRGB-A5,LED-ARRAY-SMD_4P-L1.6-W0.8-BL-FD,129.95,-127.55,0.0,top
U6,RT8075ZQW,WDFN-10_L3.0-W3.0-P0.50-BL-EP,129.095589,-132.495589,90.0,top
